name,fav_partners,project_prefs
Daniel Campbell,"[3, 24, 1]","[1, 0, 3]"
Eric Foster,"[0, 11, 7]","[1, 1, 3]"
Roy Lee,"[1, 12, 26]","[2, 1, 2]"
Alan Martin,"[13, 5, 22]","[1, 2, 3]"
Kyle Collins,"[19, 18, 10]","[3, 1, 2]"
Ronald Ward,"[3, 27, 7]","[1, 1, 2]"
Alexis Chavez,"[23, 8, 29]","[2, 3, 3]"
Maria Adams,"[5, 1, 27]","[2, 2, 2]"
Lawrence Thompson,"[6, 26, 12]","[2, 3, 3]"
Katherine Johnson,"[2, 24, 27]","[2, 2, 2]"
Aaron Robinson,"[4, 21, 29]","[2, 1, 2]"
David White,"[15, 21, 28]","[1, 1, 0]"
Austin Reyes,"[2, 1, 9]","[2, 1, 2]"
Kelly Baker,"[3, 12, 10]","[1, 2, 3]"
Terry Morgan,"[5, 0, 17]","[1, 1, 2]"
Victoria Alvarez,"[11, 17, 25]","[1, 2, 1]"
Olivia James,"[3, 10, 8]","[2, 1, 3]"
Brandon Stewart,"[14, 12, 16]","[1, 1, 2]"
Deborah Robinson,"[4, 14, 24]","[2, 2, 2]"
Debra Stewart,"[5, 6, 9]","[1, 2, 2]"
Katherine Alvarez,"[2, 19, 10]","[1, 1, 2]"
Kathryn Anderson,"[11, 10, 24]","[2, 2, 1]"
Brandon Brooks,"[3, 28, 20]","[1, 2, 2]"
Gary Long,"[6, 14, 3]","[1, 2, 2]"
Diana Ruiz,"[0, 21, 20]","[1, 1, 2]"
Christine Clark,"[15, 19, 10]","[1, 1, 2]"
James Lopez,"[29, 15, 27]","[2, 2, 2]"
Lucas Phillips,"[7, 9, 26]","[2, 2, 1]"
Shirley Mendoza,"[11, 15, 22]","[1, 2, 1]"
Alan Bailey,"[26, 10, 13]","[2, 2, 2]"
